date,open,high,low,close
2022-02-28,2618.160249563003,2944.0366427649433,2576.4720643427304,2922.477659267722
2022-02-28,2619.153753677398,undefined,undefined,undefined
2022-02-27,2780.7296625390136,2834.5086667248315,2564.4340695812143,2619.9872153540828
2022-02-27,2779.395768746634,undefined,undefined,undefined
2022-02-26,2769.494275254428,2855.7648483252297,2739.074752663262,2782.0060401297
2022-02-26,2768.4088483205765,undefined,undefined,undefined
2022-02-25,2595.03390313625,2833.6956931078957,2573.9702949733282,2769.0590733717936
2022-02-25,2599.333226591098,undefined,undefined,undefined
2022-02-24,2581.0162816545107,2709.9774991567688,2302.4809763975927,2598
2022-02-24,2579.8555089822744,undefined,undefined,undefined
2022-02-23,2637.986410108112,2751.5727914611252,2582.1098394892047,2586.634052746246
2022-02-23,2637.797188807305,undefined,undefined,undefined
2022-02-22,2569.4479744581695,2657.4162497548937,2504.4800690833963,2635.2475950860435
2022-02-22,2571.6179209254406,undefined,undefined,undefined
2022-02-21,2622.7392557170197,2756.51370322765,2564.563879837949,2581.8489247443376
2022-02-21,2622.9976533747054,undefined,undefined,undefined
2022-02-20,2764.7571983992384,2764.9398574957236,2577.2140734921422,2623.864547214775
2022-02-20,2764.5935050339817,undefined,undefined,undefined
2022-02-19,2780.08,2831.52,2702.503532445809,2765.2300650820557
2022-02-18,2886.29,2943.66,2756.48,2788.72
2022-02-18,2884.32,undefined,undefined,undefined
2022-02-17,3126.97,3158.05,2856.03,2876.48
2022-02-17,3126.69,undefined,undefined,undefined
2022-02-16,3179.37,3183.08,3049.36,3122.58
2022-02-16,3184.15,undefined,undefined,undefined
2022-02-15,2932.5,3193.11,2913.94,3186.98
2022-02-15,2935.304740863514,undefined,undefined,undefined
2022-02-14,2877.5402074802632,2962.42,2838.358030923783,2931.41
2022-02-14,2870.2575987402874,undefined,undefined,undefined
2022-02-13,2919.99,2953.7900000000004,2840.9400000000005,2885.48
2022-02-12,2923.61,2984.31,2862.658498173215,2918.812137839322
2022-02-12,2927.5000000000005,undefined,undefined,undefined
2022-02-11,3074.998443820297,3135.3690734584757,2882.59,2928.5014256576337
2022-02-10,3246.5041182592854,3280.213865952241,3063.8247583069915,3073.987573075154
2022-02-09,3119.57,3269.690962337095,3060.003676358519,3245.5102024304815
2022-02-08,3141.862486397481,3226.4221071751604,3032.6694677470473,3123.552767193549
2022-02-08,3141.49650377166,undefined,undefined,undefined
2022-02-07,3064.1945821812483,3187.5657171624525,2998.67,3141.01
2022-02-07,3060.185706455607,undefined,undefined,undefined
2022-02-06,3020.4833780620006,3069.7460171040643,2963.914093383066,3059.7388892907607
2022-02-06,3021.1433216334003,undefined,undefined,undefined
2022-02-05,2998.1024144543453,3060.2282196839606,2966.305413978925,3016.5756530967924
2022-02-04,2697.163601077906,2993.096869849878,2673.8142085588006,2989.8689286763197
2022-02-04,2693.2,undefined,undefined,undefined
2022-02-03,2682.6851783796783,2725.1946814233934,2580.3677589386025,2682.3136633210042
2022-02-03,2683.1424757769155,undefined,undefined,undefined
2022-02-02,2789.6487126976053,2811.9112998847127,2616.861463929206,2687.6852756051803
2022-02-02,2791.137473364704,undefined,undefined,undefined
2022-02-01,2689.8661485489156,2813.6046636966603,2677.663577526078,2790.817213597978
2022-02-01,2690.448189270836,undefined,undefined,undefined
2022-01-31,2603.199458441468,2705.765817734973,2484.0536277807923,2690.2840189406616
2022-01-31,2602.5415104091708,undefined,undefined,undefined
2022-01-30,2603.725042414187,2636.727316349184,2545.654209389516,2603.1675153258234
2022-01-30,2604.2571703735343,undefined,undefined,undefined
2022-01-29,2543.45,2633.64,2525.96,2599.365454919746
2022-01-29,2546.84,undefined,undefined,undefined
2022-01-28,2423.1994023323596,2556.31,2362.04,2548.26
2022-01-28,2425.82,undefined,undefined,undefined
2022-01-27,2460.65,2519.5492318764336,2319.3827772546706,2422.024276055819
2022-01-27,2463.9045481243634,undefined,undefined,undefined
2022-01-26,2460.616994162383,2715.020300982087,2406.5589731804835,2467.47758362276
2022-01-26,2455.4693665799955,undefined,undefined,undefined
2022-01-25,2441.7736821174726,2507.872599991804,2352.3472247156396,2457.507007011816
2022-01-25,2441.405399795919,undefined,undefined,undefined
2022-01-24,2541.4195305177604,2541.4195305177604,2161.058602242725,2441.6035626308203
2022-01-24,2542.4412816312765,undefined,undefined,undefined
2022-01-23,2411.499011112963,2547.3208709360206,2373.2175825794106,2535.5173317383446
